,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
0,200.0,17-9-2020,1312.0,167.0,50.0,27.0,23.0,,1.0,,
1,219.0,6-10-2020,777.0,66.0,19.0,3.0,9.0,7.0,0.0,,
2,232.0,19-10-2020,829.0,81.0,14.0,3.0,,7.0,2.0,,
3,416.0,21-4-2021,1649.0,,74.0,30.0,44.0,0.0,,,
4,321.0,16-1-2021,2527.0,144.0,342.0,147.0,195.0,0.0,3.0,,
5,146.0,"Dokar,-None-25/0",1315.0,73.0,130.0,105.0,25.0,,0.0,,
6,372.0,08-3-2021,1227.0,,102.0,27.0,75.0,0.0,,,
7,147.0,26-7-2020,1367.0,45.0,129.0,116.0,13.0,,4.0,,
8,320.0,15-1-2021,2286.0,152.0,218.0,69.0,149.0,0.0,10.0,,
9,197.0,14-9-2020,852.0,43.0,26.0,9.0,17.0,,0.0,,
10,218.0,05-10-2020,929.0,65.0,28.0,3.0,11.0,14.0,0.0,,
11,355.0,19-2-2021,2168.0,261.0,279.0,102.0,177.0,0.0,6.0,,
12,,,,,,,,,0.0,,
13,204.0,21-9-2020,997.0,198.0,24.0,15.0,9.0,,0.0,,
14,396.0,1*-4-2021,1659.0,,77.0,17.0,60.0,0.0,,,
15,,16-3-2020,,,,,,,,,
16,245.0,1*-11-2020,1038.0,105.0,14.0,4.0,8.0,2.0,1.0,,
17,171.0,19-None-2020,1463.0,110.0,141.0,58.0,83.0,,2.0,,
18,363.0,27-2-2021,2210.0,,224.0,92.0,132.0,0.0,,,
19,205.0,22-9-2020,853.0,163.0,21.0,5.0,10.0,6.0,0.0,,
20,,28-3-2020,98.0,7.0,11.0,8.0,1.0,,,,
21,286.0,12-12-2020,,44.0,104.0,42.0,62.0,0.0,4.0,,
22,365.0,01-3-2021,1746.0,,212.0,,155.0,0.0,,,
23,240.0,27-10-2020,453.0,121.0,6.0,3.0,2.0,1.0,0.0,,
24,288.0,14-12-2020,1122.0,65.0,71.0,32.0,39.0,0.0,1.0,,
25,172.0,20-None-2020,1819.0,173.0,118.0,53.0,89.0,,8.0,,
26,278.0,04-12-2020,1054.0,10.0,80.0,33.0,47.0,0.0,1.0,,
27,385.0,21-3-2021,1894.0,,140.0,44.0,96.0,0.0,,,
28,,,173.0,15.0,13.0,12.0,1.0,,,,
29,395.0,31-3-2021,1607.0,,87.0,45.0,42.0,0.0,,,
30,159.0,07-None-2020,1711.0,85.0,172.0,90.0,82.0,,2.0,,
31,390.0,26-3-2021,1586.0,,99.0,34.0,65.0,0.0,,,
32,308.0,3-1-2021,1703.0,82.0,186.0,73.0,113.0,0.0,5.0,,
33,100.0,09-6-2020,1402.0,110.0,89.0,71.0,17.0,1.0,,12.0,
34,251.0,07-11-2020,968.0,28.0,17.0,,18.0,0.0,0.0,,
35,237.0,24-10-2020,937.0,79.0,18.0,6.0,12.0,0.0,0.0,,
36,356.0,février-None-le,2586.0,283.0,252.0,87.0,165.0,0.0,8.0,,
37,185.0,02-9-2020,1187.0,22.0,88.0,42.0,45.0,1.0,8.0,,
38,266.0,22-11-2020,891.0,23.0,17.0,7.0,10.0,0.0,0.0,,
39,158.0,6-None-2020,1917.0,113.0,177.0,159.0,18.0,,5.0,,
40,,,177.0,6.0,12.0,10.0,1.0,,,,
41,185.0,02-9-2020,1187.0,22.0,88.0,42.0,45.0,1.0,8.0,,
42,71.0,11-5-2020,917.0,65.0,177.0,169.0,8.0,,,8.0,
43,362.0,26-2-2021,2762.0,,290.0,103.0,187.0,0.0,,,
44,,29-3-2020,151.0,9.0,12.0,8.0,,,,,
45,,02-4-2020,127.0,10.0,5.0,3.0,,,,,
46,7.0,17-4-2020,287.0,4.0,7.0,5.0,2.0,,,,
47,276.0,02-12-2020,1053.0,30.0,66.0,29.0,37.0,0.0,1.0,,
48,261.0,17-11-2020,551.0,4.0,5.0,1.0,4.0,0.0,0.0,,
49,287.0,13-12-2020,,35.0,78.0,32.0,45.0,,0.0,,
50,179.0,27-None-2020,1242.0,122.0,108.0,59.0,49.0,,2.0,,
51,275.0,01-12-2020,680.0,20.0,18.0,6.0,12.0,0.0,0.0,,
52,258.0,14-11-2020,1069.0,7.0,24.0,9.0,14.0,1.0,1.0,,
53,103.0,13-6-2020,1005.0,106.0,92.0,74.0,18.0,,,23.0,
54,334.0,29-1-2021,2102.0,166.0,184.0,64.0,120.0,0.0,3.0,,
55,265.0,21-11-2020,978.0,13.0,17.0,11.0,6.0,0.0,0.0,,
56,402.0,07-4-2021,867.0,,37.0,13.0,24.0,0.0,,,
57,373.0,09-3-2021,1028.0,,80.0,22.0,58.0,0.0,,,
58,130.0,09-7-2020,970.0,72.0,127.0,113.0,13.0,1.0,2.0,,
59,345.0,9-2-2021,1329.0,212.0,188.0,61.0,127.0,0.0,11.0,,
60,366.0,02-3-2021,1273.0,,100.0,,58.0,0.0,,,
61,285.0,11-12-2020,,65.0,127.0,64.0,63.0,0.0,2.0,,
62,6.0,16-4-2020,435.0,4.0,21.0,19.0,2.0,,,,
63,387.0,23-3-2021,732.0,,36.0,15.0,21.0,0.0,,,
64,,03-4-2020,,11.0,,5.0,,,,,
65,,14-3-2020,,,,,,,,,
66,,10-12-2020,,,,,,,,,
67,267.0,23-11-2020,684.0,28.0,15.0,4.0,11.0,0.0,0.0,,
68,389.0,25-3-2021,1571.0,,121.0,47.0,74.0,0.0,,,
69,,,92.0,10.0,3.0,2.0,1.0,,,,
70,,12-3-2020,,,,,,,,,
71,305.0,31-12-2020,1402.0,53.0,195.0,81.0,114.0,0.0,8.0,,
72,386.0,22-3-2021,1398.0,,87.0,30.0,57.0,0.0,,,
73,104.0,13-6-2020,1378.0,128.0,145.0,99.0,19.0,27.0,4.0,,
74,401.0,06-4-2021,793.0,,34.0,13.0,21.0,0.0,,,
75,99.0,08-6-2020,1010.0,111.0,99.0,88.0,9.0,2.0,,14.0,
76,264.0,20-11-2020,794.0,12.0,13.0,5.0,7.0,1.0,1.0,,
77,333.0,28-1-2021,2262.0,270.0,304.0,104.0,200.0,0.0,13.0,,
78,129.0,08-7-2020,788.0,174.0,110.0,87.0,23.0,,4.0,,
79,102.0,11-6-2020,1164.0,109.0,119.0,102.0,,,,20.0,
80,260.0,16-11-2020,608.0,5.0,8.0,2.0,4.0,2.0,1.0,,
81,73.0,13-5-2020,920.0,40.0,110.0,102.0,8.0,,0.0,,
82,246.0,2-11-2020,653.0,101.0,7.0,2.0,5.0,,0.0,,
